State,Year,Merch_Index,FDI_Index,Tourism_Index,GII,Population
Andhra Pradesh,2019,0.11186998739106922,0.017315300988149474,0.012710420739698466,0.04729856970630572,53903393
Dadra And Nagar Haveli,2019,0.05864005944966694,0.022175640077301276,0.00033408627042345445,0.027049928599130555,615724
Gujarat,2019,0.12359752857896819,0.1771526158108119,0.02700286623260991,0.10925100354079666,67936286
Haryana,2019,0.05864005944966694,0.11774691034461585,0.0021782479235670097,0.05952173923928327,28672000
Karnataka,2019,0.08345429394989023,0.294823454082992,0.027598908056094395,0.13529221869632554,67562686
Maharashtra,2019,0.0891056602508018,0.28497528140978523,0.2506532907633647,0.20824474414131725,123144223
Odisha,2019,0.12500786954963816,0.0013074236726008472,0.0052195255993094675,0.043844939607182824,46356334
Rajasthan,2019,0.12359752857896819,0.010842511366615258,0.0727908199675779,0.06907695330438712,81032689
Tamil Nadu,2019,0.01903519027247175,0.06002514510195235,0.311296726684471,0.13011902068629835,77841267
Uttar Pradesh,2019,0.08345429394989023,0.00474161058604655,0.21513092994629368,0.10110894482741016,237882725
West Bengal,2019,0.12359752857896819,0.008894106559129221,0.07508417781659003,0.0691919376515625,99609303
Andhra Pradesh,2020,0.11537763141523931,0.002357470706092284,0.014188900828838709,0.04397466765005676,53903393
Dadra And Nagar Haveli,2020,0.0933292832059075,0.012092163522507816,0.00033671638131492785,0.03525272103657675,615724
Gujarat,2020,0.07512556702718032,0.47694625393123596,0.04409368188656898,0.19872183428166176,67936286
Haryana,2020,0.0933292832059075,0.08760895942786467,0.003668193296195168,0.06153547864332245,28672000
Karnataka,2020,0.10016555456295052,0.16804991986113577,0.03470550856663993,0.10097366099690874,67562686
Maharashtra,2020,0.17686260092159078,0.19436248604587913,0.26500859739363886,0.21207789478703623,123144223
Odisha,2020,0.0786546702191216,0.0006309572943027083,0.0021424734337282753,0.02714270031571753,46356334
Rajasthan,2020,0.07512556702718032,0.004972581241895149,0.09372156200294186,0.05793990342400577,81032689
Tamil Nadu,2020,0.01673872082479126,0.04418220765745012,0.2578531643677657,0.10625803095000236,77841267
Uttar Pradesh,2020,0.10016555456295052,0.0026245538188546767,0.18702705675665293,0.09660572171281938,237882725
West Bengal,2020,0.07512556702718032,0.006172446492781538,0.09725414508571469,0.059517386201892175,99609303
Andhra Pradesh,2021,0.09233503599021453,0.004748071707364448,0.05798319327731093,0.05168876699162997,53903393
Dadra And Nagar Haveli,2021,0.04830763789160979,0.26250910264785443,0.0004201680672268908,0.10374563620223037,615724
Gujarat,2021,0.11785051367545173,0.045308221701994084,0.023739495798319327,0.06229941039192171,67936286
Haryana,2021,0.04830763789160979,0.11104328178765992,0.009663865546218488,0.0563382617418294,28672000
Karnataka,2021,0.05708542275730839,0.37167356129120815,0.15231092436974789,0.19368996947275482,67562686
Maharashtra,2021,0.19119700979637097,0.14263390923389946,0.3899159663865546,0.24124896180560831,123144223
Odisha,2021,0.13928127445656827,0.0023396375271633545,0.004831932773109244,0.048817614918946955,46356334
Rajasthan,2021,0.11785051367545173,0.009927559838701699,0.073109243697479,0.06696243907054415,81032689
Tamil Nadu,2021,0.012849017432654814,0.04389313933098727,0.12100840336134454,0.05925018670832888,77841267
Uttar Pradesh,2021,0.05708542275730839,0.0010376833615229441,0.09390756302521008,0.05067688971468048,237882725
West Bengal,2021,0.11785051367545173,0.0048858315716443935,0.073109243697479,0.06528186298152504,99609303
