Country,Year,Month,Comments,"Foreign Tourist Arrivals (Fta) In India (UOM:Number), Scaling Factor:1","Foreign Exchange Earnings (Fee) From Tourism In India Rs In Crores (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2023","December, 2023",Provisional estimates,1101914,24707
India,"Calendar Year (Jan - Dec), 2023","November, 2023",Provisional estimates,948631,21552
India,"Calendar Year (Jan - Dec), 2023","October, 2023",Provisional estimates,832233,19008
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Provisional estimates,666946,18534
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Provisional estimates,664155,18687
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Provisional estimates,786486,22261
India,"Calendar Year (Jan - Dec), 2023","June, 2023",Provisional estimates,667720,18737
India,"Calendar Year (Jan - Dec), 2023","May, 2023",Provisional estimates,618086,17206
India,"Calendar Year (Jan - Dec), 2023","April, 2023",Provisional estimates,625772,17405
India,"Calendar Year (Jan - Dec), 2023","March, 2023",Provisional estimates,824549,16903
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Provisional estimates,893352,18435
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Provisional estimates,891084,18492
India,"Calendar Year (Jan - Dec), 2022","December, 2022",,992977,26961
India,"Calendar Year (Jan - Dec), 2022","November, 2022",,789330,21432
India,"Calendar Year (Jan - Dec), 2022","October, 2022",,677055,18383
India,"Calendar Year (Jan - Dec), 2022","September, 2022",,551580,14559
India,"Calendar Year (Jan - Dec), 2022","August, 2022",,524756,13851
India,"Calendar Year (Jan - Dec), 2022","July, 2022",,669499,17671
India,"Calendar Year (Jan - Dec), 2022","June, 2022",,547074,14155
India,"Calendar Year (Jan - Dec), 2022","May, 2022",,445690,11531
India,"Calendar Year (Jan - Dec), 2022","April, 2022",,411010,10634
India,"Calendar Year (Jan - Dec), 2022","March, 2022",,358023,8963
India,"Calendar Year (Jan - Dec), 2022","February, 2022",,254538,6371
India,"Calendar Year (Jan - Dec), 2022","January, 2022",,215935,5406
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Foreign Exchange Estimates #2 : Revised Estimates,317647,8452
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Foreign Exchange Estimates #2 : Revised Estimates,263867,7022
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Foreign Exchange Estimates #2 : Revised Estimates,191415,5094
India,"Calendar Year (Jan - Dec), 2021","September, 2021",Foreign Exchange Estimates #2 : Revised Estimates,115661,6549
India,"Calendar Year (Jan - Dec), 2021","August, 2021",Foreign Exchange Estimates #2 : Revised Estimates,92728,5251
India,"Calendar Year (Jan - Dec), 2021","July, 2021",Foreign Exchange Estimates #2 : Revised Estimates,72501,4105
India,"Calendar Year (Jan - Dec), 2021","June, 2021",Foreign Exchange Estimates #2 : Revised Estimates,36070,3157
India,"Calendar Year (Jan - Dec), 2021","May, 2021",Foreign Exchange Estimates #2 : Revised Estimates,19765,1730
India,"Calendar Year (Jan - Dec), 2021","April, 2021",Foreign Exchange Estimates #2 : Revised Estimates,78718,6891
India,"Calendar Year (Jan - Dec), 2021","March, 2021",Foreign Exchange Estimates #2 : Revised Estimates,133768,6642
India,"Calendar Year (Jan - Dec), 2021","February, 2021",Foreign Exchange Estimates #2 : Revised Estimates,110312,5477
India,"Calendar Year (Jan - Dec), 2021","January, 2021",Foreign Exchange Estimates #2 : Revised Estimates,94662,4700
India,"Calendar Year (Jan - Dec), 2020","December, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,90544,1776
India,"Calendar Year (Jan - Dec), 2020","November, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,70977,1413
India,"Calendar Year (Jan - Dec), 2020","October, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,41494,831
India,"Calendar Year (Jan - Dec), 2020","September, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,28167,686
India,"Calendar Year (Jan - Dec), 2020","August, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,19761,479
India,"Calendar Year (Jan - Dec), 2020","July, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,12655,307
India,"Calendar Year (Jan - Dec), 2020","June, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,8590,208
India,"Calendar Year (Jan - Dec), 2020","May, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,3764,94
India,"Calendar Year (Jan - Dec), 2020","April, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,2820,71
India,"Calendar Year (Jan - Dec), 2020","March, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,328304,5830
India,"Calendar Year (Jan - Dec), 2020","February, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,1018440,18241
India,"Calendar Year (Jan - Dec), 2020","January, 2020",Foreign Exchange Estimates #1 : Provisional Estimates,1119250,20200
India,"Calendar Year (Jan - Dec), 2019","December, 2019",Foreign Exchange Estimates #2 : Revised Estimates,1226398,22631
India,"Calendar Year (Jan - Dec), 2019","November, 2019",Foreign Exchange Estimates #2 : Revised Estimates,1092440,19840
India,"Calendar Year (Jan - Dec), 2019","October, 2019",Foreign Exchange Estimates #2 : Revised Estimates,945017,17057
India,"Calendar Year (Jan - Dec), 2019","September, 2019",Foreign Exchange Estimates #2 : Revised Estimates,751513,16824
India,"Calendar Year (Jan - Dec), 2019","August, 2019",Foreign Exchange Estimates #2 : Revised Estimates,800837,17867
India,"Calendar Year (Jan - Dec), 2019","July, 2019",Foreign Exchange Estimates #2 : Revised Estimates,818125,18205
India,"Calendar Year (Jan - Dec), 2019","June, 2019",Foreign Exchange Estimates #2 : Revised Estimates,726446,16083
India,"Calendar Year (Jan - Dec), 2019","May, 2019",Foreign Exchange Estimates #2 : Revised Estimates,615136,13642
India,"Calendar Year (Jan - Dec), 2019","April, 2019",Foreign Exchange Estimates #2 : Revised Estimates,774651,17134
India,"Calendar Year (Jan - Dec), 2019","March, 2019",Foreign Exchange Estimates #2 : Revised Estimates,978236,16214
India,"Calendar Year (Jan - Dec), 2019","February, 2019",Foreign Exchange Estimates #2 : Revised Estimates,1090516,17959
India,"Calendar Year (Jan - Dec), 2019","January, 2019",Foreign Exchange Estimates #2 : Revised Estimates,1111040,18205
India,"Calendar Year (Jan - Dec), 2018","December, 2018",Foreign Exchange Estimates #2 : Revised Estimates,1191498,19474
India,"Calendar Year (Jan - Dec), 2018","November, 2018",Foreign Exchange Estimates #2 : Revised Estimates,1012569,16584
India,"Calendar Year (Jan - Dec), 2018","October, 2018",Foreign Exchange Estimates #2 : Revised Estimates,890223,14701
India,"Calendar Year (Jan - Dec), 2018","September, 2018",Foreign Exchange Estimates #2 : Revised Estimates,719894,15150
India,"Calendar Year (Jan - Dec), 2018","August, 2018",Foreign Exchange Estimates #2 : Revised Estimates,785993,16492
India,"Calendar Year (Jan - Dec), 2018","July, 2018",Foreign Exchange Estimates #2 : Revised Estimates,806493,16976
India,"Calendar Year (Jan - Dec), 2018","June, 2018",Foreign Exchange Estimates #2 : Revised Estimates,683935,14398
India,"Calendar Year (Jan - Dec), 2018","May, 2018",Foreign Exchange Estimates #2 : Revised Estimates,606513,12752
India,"Calendar Year (Jan - Dec), 2018","April, 2018",Foreign Exchange Estimates #2 : Revised Estimates,745033,15620
India,"Calendar Year (Jan - Dec), 2018","March, 2018",Foreign Exchange Estimates #2 : Revised Estimates,1021539,17222
India,"Calendar Year (Jan - Dec), 2018","February, 2018",Foreign Exchange Estimates #2 : Revised Estimates,1049259,17757
India,"Calendar Year (Jan - Dec), 2018","January, 2018",Foreign Exchange Estimates #2 : Revised Estimates,1045027,17755
